query,mode,rater,relevance,accuracy,completeness,usefulness,json_valid
Apakah ada tur kampus (campus tour) di Q4 2025?,engineered,Delvin,4,1,3,4,1
Apakah ada tur kampus (campus tour) di Q4 2025?,engineered,Calvin,4,1,4,4,1
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,baseline,Delvin,4,1,3,5,1
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,baseline,Calvin,3,1,2,4,0
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,engineered,Delvin,4,1,3,4,1
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,engineered,Calvin,3,1,4,3,1
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,baseline,Delvin,4,1,3,3,1
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,baseline,Calvin,3,1,3,3,1
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,engineered,Delvin,4,1,4,5,1
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,engineered,Calvin,4,0,4,4,1
Apakah ada event kolaborasi dengan kampus lain atau industri?,baseline,Delvin,3,1,3,2,1
Apakah ada event kolaborasi dengan kampus lain atau industri?,baseline,Calvin,4,0,3,4,1
Apakah ada event kolaborasi dengan kampus lain atau industri?,engineered,Delvin,4,1,3,3,1
Apakah ada event kolaborasi dengan kampus lain atau industri?,engineered,Calvin,4,1,4,5,1
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,baseline,Delvin,5,1,2,4,1
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,baseline,Calvin,3,1,4,5,1
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,engineered,Delvin,4,1,4,3,1
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,engineered,Calvin,4,1,4,5,0
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,baseline,Delvin,4,1,4,4,1
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,baseline,Calvin,3,1,5,4,1
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,engineered,Delvin,3,1,4,3,1
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,engineered,Calvin,4,1,4,4,1
Saya ingin daftar semua event dengan biaya < Rp100.000 di November 2025.,baseline,Delvin,3,1,5,4,1
Saya ingin daftar semua event dengan biaya < Rp100.000 di November 2025.,baseline,Calvin,4,0,4,3,1
Saya ingin daftar semua event dengan biaya < Rp100.000 di November 2025.,engineered,Delvin,3,1,3,4,0
Saya ingin daftar semua event dengan biaya < Rp100.000 di November 2025.,engineered,Calvin,2,1,4,4,1
Urutkan event berdasarkan biaya (termurahâ†’termahal) bulan Desember 2025.,baseline,Delvin,3,1,4,3,1
Urutkan event berdasarkan biaya (termurahâ†’termahal) bulan Desember 2025.,baseline,Calvin,3,1,3,4,1
Urutkan event berdasarkan biaya (termurahâ†’termahal) bulan Desember 2025.,engineered,Delvin,4,1,5,3,1
Urutkan event berdasarkan biaya (termurahâ†’termahal) bulan Desember 2025.,engineered,Calvin,4,1,4,4,1
Event apa saja yang butuh registrasi H-1 sebelum acara?,baseline,Delvin,3,1,3,3,1
Event apa saja yang butuh registrasi H-1 sebelum acara?,baseline,Calvin,4,1,4,4,1
Event apa saja yang butuh registrasi H-1 sebelum acara?,engineered,Delvin,3,0,3,4,1
Event apa saja yang butuh registrasi H-1 sebelum acara?,engineered,Calvin,4,1,4,4,1
Tampilkan event yang menerima peserta dari luar UIB.,baseline,Delvin,2,1,4,3,1
Tampilkan event yang menerima peserta dari luar UIB.,baseline,Calvin,4,0,5,4,1
Tampilkan event yang menerima peserta dari luar UIB.,engineered,Delvin,3,1,4,4,1
Tampilkan event yang menerima peserta dari luar UIB.,engineered,Calvin,4,1,3,4,1
Apakah ada event dengan kuota prioritas untuk mahasiswa baru?,baseline,Delvin,4,1,2,5,1
Apakah ada event dengan kuota prioritas untuk mahasiswa baru?,baseline,Calvin,2,1,2,3,1
Apakah ada event dengan kuota prioritas untuk mahasiswa baru?,engineered,Delvin,4,0,4,4,1
Apakah ada event dengan kuota prioritas untuk mahasiswa baru?,engineered,Calvin,4,1,3,3,1
"Beri output JSON: [{""title"",""date"",""register_url""}] untuk sertifikasi November 2025.,baseline,Delvin,2,1,3,4,1"
"Beri output JSON: [{""title"",""date"",""register_url""}] untuk sertifikasi November 2025.,baseline,Calvin,4,0,4,4,1"
"Beri output JSON: [{""title"",""date"",""register_url""}] untuk sertifikasi November 2025.,engineered,Delvin,3,1,3,4,1"
"Beri output JSON: [{""title"",""date"",""register_url""}] untuk sertifikasi November 2025.,engineered,Calvin,2,1,4,5,1"
Buat ringkasan 5 baris untuk seluruh event bertema â€˜karierâ€™ bulan November 2025.,baseline,Delvin,4,0,3,3,1
Buat ringkasan 5 baris untuk seluruh event bertema â€˜karierâ€™ bulan November 2025.,baseline,Calvin,4,1,3,2,1
Buat ringkasan 5 baris untuk seluruh event bertema â€˜karierâ€™ bulan November 2025.,engineered,Delvin,4,1,5,5,1
Buat ringkasan 5 baris untuk seluruh event bertema â€˜karierâ€™ bulan November 2025.,engineered,Calvin,3,1,3,3,1
Saya ingin event yang diadakan pada jam kerja (09:00â€“17:00) saja di Oktober 2025.,baseline,Delvin,2,1,3,2,1
Saya ingin event yang diadakan pada jam kerja (09:00â€“17:00) saja di Oktober 2025.,baseline,Calvin,2,1,3,3,1
Saya ingin event yang diadakan pada jam kerja (09:00â€“17:00) saja di Oktober 2025.,engineered,Delvin,5,1,4,4,1
Saya ingin event yang diadakan pada jam kerja (09:00â€“17:00) saja di Oktober 2025.,engineered,Calvin,2,1,5,3,1
Tampilkan event yang memiliki sesi networking.,baseline,Delvin,4,1,4,3,1
Tampilkan event yang memiliki sesi networking.,baseline,Calvin,3,1,3,3,1
Tampilkan event yang memiliki sesi networking.,engineered,Delvin,4,1,4,4,1
Tampilkan event yang memiliki sesi networking.,engineered,Calvin,3,1,4,4,1
Apakah ada event yang menyediakan doorprize?,baseline,Delvin,4,1,4,3,0
Apakah ada event yang menyediakan doorprize?,baseline,Calvin,3,1,2,5,0
Apakah ada event yang menyediakan doorprize?,engineered,Delvin,4,1,5,4,1
Apakah ada event yang menyediakan doorprize?,engineered,Calvin,3,1,4,4,1
Sertakan penjelasan apakah ada dress code untuk event-event November 2025 (jika tercantum).,baseline,Delvin,3,1,4,3,1
Sertakan penjelasan apakah ada dress code untuk event-event November 2025 (jika tercantum).,baseline,Calvin,3,1,2,4,1
Sertakan penjelasan apakah ada dress code untuk event-event November 2025 (jika tercantum).,engineered,Delvin,5,1,3,3,1
Sertakan penjelasan apakah ada dress code untuk event-event November 2025 (jika tercantum).,engineered,Calvin,4,1,5,4,1
Apakah ada event yang memerlukan perangkat/laptop?,baseline,Delvin,4,1,2,2,0
Apakah ada event yang memerlukan perangkat/laptop?,baseline,Calvin,4,1,3,3,1
Apakah ada event yang memerlukan perangkat/laptop?,engineered,Delvin,3,1,5,3,1
Apakah ada event yang memerlukan perangkat/laptop?,engineered,Calvin,3,1,4,5,0
Ada acara di bulan 12 yang topiknya â€˜data scienceâ€™?,baseline,Delvin,2,1,3,3,1
Ada acara di bulan 12 yang topiknya â€˜data scienceâ€™?,baseline,Calvin,4,1,3,5,1
Ada acara di bulan 12 yang topiknya â€˜data scienceâ€™?,engineered,Delvin,5,1,3,4,0
Ada acara di bulan 12 yang topiknya â€˜data scienceâ€™?,engineered,Calvin,4,1,4,4,1
Tuliskan hanya tanggal (YYYY-MM-DD) semua webinar bulan 11.,baseline,Delvin,3,0,4,3,1
Tuliskan hanya tanggal (YYYY-MM-DD) semua webinar bulan 11.,baseline,Calvin,4,1,3,3,1
Tuliskan hanya tanggal (YYYY-MM-DD) semua webinar bulan 11.,engineered,Delvin,3,1,4,4,1
Tuliskan hanya tanggal (YYYY-MM-DD) semua webinar bulan 11.,engineered,Calvin,3,1,4,5,1
formatkan jawaban dalam bullet yang sangat singkat untuk event Q4 2025.,baseline,Delvin,4,1,3,3,1
formatkan jawaban dalam bullet yang sangat singkat untuk event Q4 2025.,baseline,Calvin,2,1,3,4,1
formatkan jawaban dalam bullet yang sangat singkat untuk event Q4 2025.,engineered,Delvin,5,1,3,4,1
formatkan jawaban dalam bullet yang sangat singkat untuk event Q4 2025.,engineered,Calvin,3,0,4,4,1
Sebutkan 2 event paling relevan untuk alumni UIB di November 2025.,baseline,Delvin,4,1,4,3,1
Sebutkan 2 event paling relevan untuk alumni UIB di November 2025.,baseline,Calvin,3,1,4,3,1
Sebutkan 2 event paling relevan untuk alumni UIB di November 2025.,engineered,Delvin,4,1,4,5,0
Sebutkan 2 event paling relevan untuk alumni UIB di November 2025.,engineered,Calvin,4,0,3,2,1
Tampilkan event yang target audiensnya dosen atau staff (jika ada).,baseline,Delvin,3,1,4,3,1
Tampilkan event yang target audiensnya dosen atau staff (jika ada).,baseline,Calvin,3,1,3,4,1
Tampilkan event yang target audiensnya dosen atau staff (jika ada).,engineered,Delvin,3,1,3,4,1
Tampilkan event yang target audiensnya dosen atau staff (jika ada).,engineered,Calvin,3,0,4,4,0
Cari 3 gambar kampus UIB bertema â€˜perpustakaanâ€™ beserta sumbernya.,baseline,Delvin,2,1,3,3,1
Cari 3 gambar kampus UIB bertema â€˜perpustakaanâ€™ beserta sumbernya.,baseline,Calvin,3,0,4,2,1
Cari 3 gambar kampus UIB bertema â€˜perpustakaanâ€™ beserta sumbernya.,engineered,Delvin,5,1,4,4,1
Cari 3 gambar kampus UIB bertema â€˜perpustakaanâ€™ beserta sumbernya.,engineered,Calvin,5,1,5,3,1
Gambar â€˜laboratorium UIBâ€™ 2 contoh, link sumber wajib ada.,baseline,Delvin,4,0,4,4,1
Gambar â€˜laboratorium UIBâ€™ 2 contoh, link sumber wajib ada.,baseline,Calvin,4,1,3,3,1
Gambar â€˜laboratorium UIBâ€™ 2 contoh, link sumber wajib ada.,engineered,Delvin,4,1,4,3,1
Gambar â€˜laboratorium UIBâ€™ 2 contoh, link sumber wajib ada.,engineered,Calvin,4,0,3,5,1
Ada event yang sudah full booked? (jika ada indikatornya),baseline,Delvin,4,1,4,4,1
Ada event yang sudah full booked? (jika ada indikatornya),baseline,Calvin,3,1,2,4,0
Ada event yang sudah full booked? (jika ada indikatornya),engineered,Delvin,3,0,4,4,0
Ada event yang sudah full booked? (jika ada indikatornya),engineered,Calvin,4,0,4,3,1
Sebutkan event yang mensyaratkan prasyarat tertentu (misal lulus modul A).,baseline,Delvin,4,1,3,3,1
Sebutkan event yang mensyaratkan prasyarat tertentu (misal lulus modul A).,baseline,Calvin,3,1,3,4,1
Sebutkan event yang mensyaratkan prasyarat tertentu (misal lulus modul A).,engineered,Delvin,4,0,3,4,0
Sebutkan event yang mensyaratkan prasyarat tertentu (misal lulus modul A).,engineered,Calvin,3,1,5,4,0
Tampilkan event yang dapat ditonton ulang (recording tersedia).,baseline,Delvin,3,1,3,4,1
Tampilkan event yang dapat ditonton ulang (recording tersedia).,baseline,Calvin,2,1,3,4,1
Tampilkan event yang dapat ditonton ulang (recording tersedia).,engineered,Delvin,4,1,3,4,1
Tampilkan event yang dapat ditonton ulang (recording tersedia).,engineered,Calvin,5,0,4,4,1
Buat daftar event yang relevan untuk persiapan magang industri bulan November 2025.,baseline,Delvin,3,1,3,1,1
Buat daftar event yang relevan untuk persiapan magang industri bulan November 2025.,baseline,Calvin,3,0,3,2,1
Buat daftar event yang relevan untuk persiapan magang industri bulan November 2025.,engineered,Delvin,4,0,3,4,1
Buat daftar event yang relevan untuk persiapan magang industri bulan November 2025.,engineered,Calvin,3,1,4,3,1
Beri 3 event untuk pengembangan soft skill pada Desember 2025.,baseline,Delvin,3,0,4,4,1
Beri 3 event untuk pengembangan soft skill pada Desember 2025.,baseline,Calvin,3,1,4,3,1
Beri 3 event untuk pengembangan soft skill pada Desember 2025.,engineered,Delvin,4,1,3,4,1
Beri 3 event untuk pengembangan soft skill pada Desember 2025.,engineered,Calvin,3,1,4,4,1
Apakah ada event keuangan/bisnis di Q4 2025?,baseline,Delvin,2,1,4,3,1
Apakah ada event keuangan/bisnis di Q4 2025?,baseline,Calvin,4,1,4,5,1
Apakah ada event keuangan/bisnis di Q4 2025?,engineered,Delvin,5,0,5,5,1
Apakah ada event keuangan/bisnis di Q4 2025?,engineered,Calvin,4,1,3,4,1
Tampilkan 3 event dengan waktu paling pagi di November 2025.,baseline,Delvin,2,1,3,3,0
Tampilkan 3 event dengan waktu paling pagi di November 2025.,baseline,Calvin,3,1,4,3,1
Tampilkan 3 event dengan waktu paling pagi di November 2025.,engineered,Delvin,4,1,4,4,1
Tampilkan 3 event dengan waktu paling pagi di November 2025.,engineered,Calvin,4,1,4,5,1
Urutkan event Oktober 2025 berdasarkan abjad judul.,baseline,Delvin,3,0,2,4,1
Urutkan event Oktober 2025 berdasarkan abjad judul.,baseline,Calvin,3,1,4,4,1
Urutkan event Oktober 2025 berdasarkan abjad judul.,engineered,Delvin,3,0,4,3,1
Urutkan event Oktober 2025 berdasarkan abjad judul.,engineered,Calvin,3,1,4,4,1
Saya butuh agenda UIB minggu ini (Seninâ€“Minggu).,baseline,Delvin,3,0,3,3,1
Saya butuh agenda UIB minggu ini (Seninâ€“Minggu).,baseline,Calvin,4,1,3,3,1
Saya butuh agenda UIB minggu ini (Seninâ€“Minggu).,engineered,Delvin,3,1,3,4,1
Saya butuh agenda UIB minggu ini (Seninâ€“Minggu).,engineered,Calvin,3,1,5,3,1
Jika saya hanya available tanggal 25â€“30 November 2025, event apa yang cocok?,baseline,Delvin,3,1,3,4,1
Jika saya hanya available tanggal 25â€“30 November 2025, event apa yang cocok?,baseline,Calvin,3,1,4,3,0
Jika saya hanya available tanggal 25â€“30 November 2025, event apa yang cocok?,engineered,Delvin,5,1,5,4,1
Jika saya hanya available tanggal 25â€“30 November 2025, event apa yang cocok?,engineered,Calvin,5,1,4,5,1
Tampilkan event yang punya narasumber dari industri (bukan internal) di Q4 2025.,baseline,Delvin,5,1,3,4,1
Tampilkan event yang punya narasumber dari industri (bukan internal) di Q4 2025.,baseline,Calvin,2,1,4,3,0
Tampilkan event yang punya narasumber dari industri (bukan internal) di Q4 2025.,engineered,Delvin,3,1,4,5,0
Tampilkan event yang punya narasumber dari industri (bukan internal) di Q4 2025.,engineered,Calvin,5,1,4,3,1
Ada info beasiswa atau seminar beasiswa di Q4 2025?,baseline,Delvin,3,1,2,3,1
Ada info beasiswa atau seminar beasiswa di Q4 2025?,baseline,Calvin,4,0,4,2,1
Ada info beasiswa atau seminar beasiswa di Q4 2025?,engineered,Delvin,3,1,3,3,1
Ada info beasiswa atau seminar beasiswa di Q4 2025?,engineered,Calvin,4,1,5,4,1
